,Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
340,thioguanine,NUDT15,Intermediate Metabolizer,TPMT,None,"Based on NUDT15, start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857). TPMT genotype is not available. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
341,thioguanine,NUDT15,Possible Intermediate Metabolizer,TPMT,Normal Metabolizer,"Start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857)."
342,thioguanine,NUDT15,Possible Intermediate Metabolizer,TPMT,Possible Intermediate Metabolizer,"Start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857)."
343,thioguanine,NUDT15,Possible Intermediate Metabolizer,TPMT,Intermediate Metabolizer,"Start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857)."
344,thioguanine,NUDT15,Possible Intermediate Metabolizer,TPMT,Poor Metabolizer,"Start with drastically reduced doses (PMID 11037857) (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201)."
345,thioguanine,NUDT15,Possible Intermediate Metabolizer,TPMT,Indeterminate,"Based on NUDT15, start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857). TPMT phenotype could not be assigned based on genotyping performed. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
346,thioguanine,NUDT15,Possible Intermediate Metabolizer,TPMT,None,"Based on NUDT15, start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857). TPMT genotype is not available. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
347,thioguanine,NUDT15,Poor Metabolizer,TPMT,Normal Metabolizer,"Reduce starting doses to 25% of normal dose and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. In setting of myelosuppression, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201)."
348,thioguanine,NUDT15,Poor Metabolizer,TPMT,Possible Intermediate Metabolizer,"Reduce starting doses to 25% of normal dose and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. In setting of myelosuppression, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201)."
349,thioguanine,NUDT15,Poor Metabolizer,TPMT,Intermediate Metabolizer,"Reduce starting doses to 25% of normal dose and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. In setting of myelosuppression, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201)."
350,thioguanine,NUDT15,Poor Metabolizer,TPMT,Poor Metabolizer,"Start with drastically reduced doses (PMID 11037857) (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201)."
351,thioguanine,NUDT15,Poor Metabolizer,TPMT,Indeterminate,"Based on NUDT15, reduce starting doses to 25% of normal dose and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. In setting of myelosuppression, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201). TPMT phenotype could not be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
352,thioguanine,NUDT15,Poor Metabolizer,TPMT,None,"Based on NUDT15, reduce starting doses to 25% of normal dose and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. In setting of myelosuppression, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201). TPMT genotype is not available. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
353,thioguanine,NUDT15,Indeterminate,TPMT,Normal Metabolizer,"Based on TPMT status, start with normal starting dose (e.g., 40-60 mg/m2/day) and adjust doses of thioguanine and of other myelosuppressive therapy without any special emphasis on thioguanine. Allow 2 weeks to reach steady-state after each dose adjustment (PMID 203542+J1301, 11037857). NUDT15 status could not be determined based on genotyping. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
354,thioguanine,NUDT15,Indeterminate,TPMT,Possible Intermediate Metabolizer,"Based on TPMT status, start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857). NUDT15 phenotype could not be assigned based on genotyping. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
355,thioguanine,NUDT15,Indeterminate,TPMT,Intermediate Metabolizer,"Based on TPMT status, start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857). NUDT15 phenotype could not be assigned based on genotyping. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
356,thioguanine,NUDT15,Indeterminate,TPMT,Poor Metabolizer,"Based on TPMT status, start with drastically reduced doses (PMID 11037857) (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201). NUDT15 status could not be determined based on genotyping. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
357,thioguanine,NUDT15,Indeterminate,TPMT,Indeterminate,"Neither TPMT or NUDT15 phenotype could be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
358,thioguanine,NUDT15,Indeterminate,TPMT,None,"NUDT15 phenotype could not be assigned based on genotyping performed and there is no TPMT genotype available. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
359,thioguanine,NUDT15,None,TPMT,Normal Metabolizer,"Based on TPMT status, start with normal starting dose (e.g., 40-60 mg/m2/day) and adjust doses of thioguanine and of other myelosuppressive therapy without any special emphasis on thioguanine. Allow 2 weeks to reach steady-state after each dose adjustment (PMID 203542+J1301, 11037857). NUDT15 genotype is not available. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
360,thioguanine,NUDT15,None,TPMT,Possible Intermediate Metabolizer,"Based on TPMT status, start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857). NUDT15 genotype is not available. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
361,thioguanine,NUDT15,None,TPMT,Intermediate Metabolizer,"Based on TPMT status, start with reduced doses (50% to 80% of normal dose) if normal starting dose is >= 40-60 mg/m2/day (e.g., 20-48 mg/m2/day) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing thioguanine over other agents (PMID 20354201, 11037857). NUDT15 genotype is not available. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
362,thioguanine,NUDT15,None,TPMT,Poor Metabolizer,"Based on TPMT status, start with drastically reduced doses (PMID 11037857) (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201). NUDT15 genotype is not available. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
363,thioguanine,NUDT15,None,TPMT,Indeterminate,"TPMT phenotype could not be assigned based on genotyping performed and NUDT15 genotype is not available. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
364,thioguanine,NUDT15,None,TPMT,None,None
365,atorvastatin,SLCO1B1,Increased Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
366,atorvastatin,SLCO1B1,Normal Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
367,atorvastatin,SLCO1B1,Possible Decreased Function,None,None,"Prescribe <=40mg as a starting dose and adjust doses of atorvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for 40mg dose. If dose >40mg needed for desired efficacy, consider combination therapy (i.e., atorvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
368,atorvastatin,SLCO1B1,Decreased Function,None,None,"Prescribe <=40mg as a starting dose and adjust doses of atorvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for 40mg dose. If dose >40mg needed for desired efficacy, consider combination therapy (i.e., atorvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
369,atorvastatin,SLCO1B1,Poor Function,None,None,"Prescribe <=20mg as a starting dose and adjust doses of atorvastatin based on disease-specific guidelines. If dose >20mg is needed for desired efficacy, consider rosuvastatin or combination therapy (i.e., atorvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
370,atorvastatin,SLCO1B1,Indeterminate,None,None,None
371,lovastatin,SLCO1B1,Increased Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
372,lovastatin,SLCO1B1,Normal Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
373,lovastatin,SLCO1B1,Possible Decreased Function,None,None,"Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins). If lovastatin therapy is warranted, limit dose to <=20mg/day."
374,lovastatin,SLCO1B1,Decreased Function,None,None,"Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins). If lovastatin therapy is warranted, limit dose to <=20mg/day."
375,lovastatin,SLCO1B1,Poor Function,None,None,Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).
376,lovastatin,SLCO1B1,Indeterminate,None,None,None
377,pitavastatin,SLCO1B1,Increased Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
378,pitavastatin,SLCO1B1,Normal Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
379,pitavastatin,SLCO1B1,Possible Decreased Function,None,None,"Prescribe <= 2mg as a starting dose and adjust doses of pitavastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >1mg. If dose >2mg needed for desired efficacy, consider an alternative statin (see Figure 1 of PMID: 35152405 for recommendations for alternative statins) or combination therapy (i.e. pitavastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
380,pitavastatin,SLCO1B1,Decreased Function,None,None,"Prescribe <= 2mg as a starting dose and adjust doses of pitavastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >1mg. If dose >2mg needed for desired efficacy, consider an alternative statin (see Figure 1 of PMID: 35152405 for recommendations for alternative statins) or combination therapy (i.e. pitavastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
381,pitavastatin,SLCO1B1,Poor Function,None,None,"Prescribe <=1mg as a starting dose and adjust doses of pitavastatin based on disease-specific guidelines. If dose >1mg needed for desired efficacy, consider an alternative statin (see Figure 1 of PMID: 35152405 for recommendations for alternative statins) or combination therapy (i.e. pitavastatin plus non-statin guideline directed medical therapy)(PMID: 30423391)."
382,pitavastatin,SLCO1B1,Indeterminate,None,None,None
383,pravastatin,SLCO1B1,Increased Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
384,pravastatin,SLCO1B1,Normal Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
385,pravastatin,SLCO1B1,Possible Decreased Function,None,None,Prescribe desired starting dose and adjust doses of pravastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy with pravastatin especially with doses >40mg per day.
386,pravastatin,SLCO1B1,Decreased Function,None,None,Prescribe desired starting dose and adjust doses of pravastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy with pravastatin especially with doses >40mg per day.
387,pravastatin,SLCO1B1,Poor Function,None,None,"Prescribe <=40mg as a starting dose and adjust doses of pravastatin based on disease-specific guidelines. If patient is tolerating 40mg dose but higher potency is needed, a higher dose (>40mg) or an alternative statin (see Figure 1 of of PMID: 35152405 for recommendations for alternative statins) or combination therapy (i.e. pravastatin plus non-statin guideline directed medical therapy)(PMID: 30423391) could be considered. Prescriber should be aware of possible increased risk for myopathy especially with pravastatin doses >40mg."
388,pravastatin,SLCO1B1,Indeterminate,None,None,None
389,simvastatin,SLCO1B1,Increased Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
390,simvastatin,SLCO1B1,Normal Function,None,None,Prescribe desired starting dose and adjust doses based on disease-specific guidelines.
391,simvastatin,SLCO1B1,Possible Decreased Function,None,None,"Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins). If simvastatin therapy is warranted, limit dose to <20mg/day."
392,simvastatin,SLCO1B1,Decreased Function,None,None,"Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins). If simvastatin therapy is warranted, limit dose to <20mg/day."
393,simvastatin,SLCO1B1,Poor Function,None,None,Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).
394,simvastatin,SLCO1B1,Indeterminate,None,None,None
395,atazanavir,UGT1A1,Normal Metabolizer,None,None,"There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Inform the patient that some patients stop atazanavir because of jaundice (yellow eyes and skin), but that this patient's genotype makes this unlikely (less than about a 1 in 20 chance of stopping atazanavir because of jaundice)."
396,atazanavir,UGT1A1,Intermediate Metabolizer,None,None,"There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Inform the patient that some patients stop atazanavir because of jaundice (yellow eyes and skin), but that this patient's genotype makes this unlikely (less than about a 1 in 20 chance of stopping atazanavir because of jaundice)."
397,atazanavir,UGT1A1,Poor Metabolizer,None,None,"Consider an alternative agent particularly where jaundice would be of concern to the patient. If atazanavir is to be prescribed, there is a high likelihood of developing jaundice that will result in atazanavir discontinuation (at least 20% and as high as 60%)."
398,atazanavir,UGT1A1,Indeterminate,None,None,None
399,amitriptyline,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
400,amitriptyline,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
401,amitriptyline,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
402,amitriptyline,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
403,amitriptyline,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
404,amitriptyline,CYP2C19,Ultrarapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
405,amitriptyline,CYP2C19,Rapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
406,amitriptyline,CYP2C19,Rapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
407,amitriptyline,CYP2C19,Rapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
408,amitriptyline,CYP2C19,Rapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
409,amitriptyline,CYP2C19,Rapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
410,amitriptyline,CYP2C19,Rapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
411,amitriptyline,CYP2C19,Normal Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment."
412,amitriptyline,CYP2C19,Normal Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
413,amitriptyline,CYP2C19,Normal Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.
414,amitriptyline,CYP2C19,Normal Metabolizer,CYP2D6,Poor Metabolizer,"Avoid amitriptyline use. If a amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
415,amitriptyline,CYP2C19,Normal Metabolizer,CYP2D6,Indeterminate,None
416,amitriptyline,CYP2C19,Normal Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
417,amitriptyline,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
418,amitriptyline,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
419,amitriptyline,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
420,amitriptyline,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid amitriptyline use. If a amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
421,amitriptyline,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Indeterminate,None
422,amitriptyline,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
423,amitriptyline,CYP2C19,Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
424,amitriptyline,CYP2C19,Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
425,amitriptyline,CYP2C19,Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
426,amitriptyline,CYP2C19,Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid amitriptyline use. If a amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
427,amitriptyline,CYP2C19,Intermediate Metabolizer,CYP2D6,Indeterminate,None
428,amitriptyline,CYP2C19,Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
429,amitriptyline,CYP2C19,Likely Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
430,amitriptyline,CYP2C19,Likely Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid amitriptyline use. If amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
431,amitriptyline,CYP2C19,Likely Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
432,amitriptyline,CYP2C19,Likely Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
433,amitriptyline,CYP2C19,Likely Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
434,amitriptyline,CYP2C19,Likely Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
435,amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
436,amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid amitriptyline use. If amitripyline is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
437,amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
438,amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
439,amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
440,amitriptyline,CYP2C19,Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
